Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Football Men's Football,23.46360582306831,15.0,40.0,177.4803386127799,140.0,200.0,73.08664412510566,28.0,100.0,5733
Hockey Men's Hockey,25.86627597229622,16.0,44.0,176.85257731958762,150.0,200.0,73.34376086200903,48.0,105.0,3958
Water Polo Men's Water Polo,25.736542115262825,14.0,45.0,186.80173913043478,154.0,206.0,87.7061717352415,61.0,125.0,3358
Basketball Men's Basketball,25.24628312863607,16.0,40.0,194.87262357414448,163.0,226.0,91.68352893565358,59.0,156.0,3280
"Cycling Men's Road Race, Individual",24.991036213696667,16.0,42.0,176.73163972286375,138.0,200.0,69.34266227657572,48.0,95.0,2947
Gymnastics Men's Individual All-Around,24.62242152466368,14.0,44.0,167.6349315068493,150.0,185.0,63.34862385321101,48.0,87.0,2500
Rowing Men's Coxed Eights,24.89948574100047,11.0,51.0,187.49544498948845,150.0,209.0,84.34501718213059,45.0,137.0,2302
Handball Men's Handball,26.569902048085485,14.0,42.0,188.77837311251827,140.0,214.0,89.38791423001949,62.0,132.0,2264
Athletics Men's Marathon,29.00711548987411,16.0,52.0,172.20077972709552,148.0,200.0,60.27001312335958,42.0,106.0,1960
Athletics Men's 100 metres,23.854465270121278,15.0,40.0,176.85704419889504,153.0,198.0,71.99261083743842,50.0,102.0,1919
Volleyball Men's Volleyball,25.810475161987043,17.0,41.0,193.26565995525726,170.0,219.0,86.92592592592592,56.0,120.0,1861
Volleyball Women's Volleyball,24.431626701231366,15.0,39.0,179.49498327759198,153.0,204.0,69.33377926421404,30.0,98.0,1543
Gymnastics Women's Individual All-Around,19.0476812540823,13.0,38.0,156.03880597014924,127.0,179.0,47.68246802106847,25.0,72.0,1539
Hockey Women's Hockey,25.33241946538725,15.0,41.0,166.1252669039146,138.0,190.0,60.53093525179856,45.0,80.0,1459
Handball Women's Handball,25.88392213410238,15.0,43.0,174.84027777777777,153.0,198.0,68.87685113016367,48.0,105.0,1401
"Fencing Men's Foil, Individual",27.78841512469831,15.0,57.0,178.60168471720817,153.0,201.0,73.61614173228347,54.0,98.0,1357
"Fencing Men's epee, Individual",29.406779661016948,16.0,52.0,183.18059299191376,160.0,208.0,77.87012987012987,53.0,108.0,1258
Basketball Women's Basketball,25.51751592356688,16.0,37.0,182.45483613109513,161.0,213.0,73.68516984258493,50.0,128.0,1256
Athletics Men's 400 metres,23.816582914572866,16.0,37.0,179.9864472410455,160.0,201.0,71.72,51.0,99.0,1247
Athletics Men's 800 metres,23.933098591549296,13.0,36.0,179.0659793814433,155.0,196.0,67.51725941422595,49.0,85.0,1186
Rowing Men's Coxless Fours,25.191666666666666,16.0,44.0,189.52235294117648,167.0,207.0,88.06404230317274,63.0,110.0,1103
Rowing Men's Coxed Fours,24.36105476673428,13.0,47.0,183.5515625,132.0,205.0,80.71451876019576,41.0,109.0,1096
Swimming Men's 100 metres Freestyle,21.2972972972973,13.0,39.0,184.1933621933622,152.0,208.0,78.39247311827957,50.0,107.0,1064
Athletics Women's 100 metres,23.01421800947867,14.0,44.0,166.22043010752688,142.0,184.0,57.48538961038961,40.0,76.0,1063
"Equestrianism Mixed Jumping, Individual",33.82,18.0,65.0,175.3340425531915,150.0,195.0,69.65845824411134,43.0,95.0,1018
Football Women's Football,24.90909090909091,16.0,40.0,167.6761421319797,150.0,189.0,60.925813008130085,45.0,86.0,1012
Modern Pentathlon Men's Individual,26.625390218522373,16.0,53.0,179.30901287553647,152.0,198.0,72.31594634873323,56.0,91.0,1006
"Athletics Men's 5,000 metres",25.297237569060773,15.0,41.0,174.7758186397985,155.0,200.0,61.91941624365482,42.0,85.0,941
"Cycling Men's Team Pursuit, 4,000 metres",23.21,14.0,40.0,179.94685314685316,157.0,198.0,73.49859154929578,50.0,91.0,939
Sailing Mixed Three Person Keelboat,33.1766004415011,13.0,62.0,179.68571428571428,156.0,204.0,80.90196078431373,50.0,125.0,927
Baseball Men's Baseball,26.240761478163495,16.0,44.0,182.59929078014184,147.0,206.0,85.70779220779221,38.0,120.0,894
"Fencing Men's Sabre, Individual",28.67917675544794,16.0,63.0,180.01677852348993,160.0,199.0,76.49310344827586,48.0,98.0,892
"Athletics Men's 1,500 metres",24.301775147928993,16.0,38.0,177.65395095367847,154.0,196.0,64.95336076817559,42.0,87.0,877
Athletics Men's 110 metres Hurdles,24.707673568818514,17.0,39.0,185.2196861626248,155.0,201.0,77.45749279538904,51.0,98.0,858
Athletics Men's High Jump,23.552825552825553,16.0,41.0,188.08035714285714,166.0,205.0,75.99774436090226,53.0,100.0,836
"Fencing Women's Foil, Individual",26.77020202020202,15.0,50.0,167.39001560062403,152.0,190.0,59.50805152979066,44.0,77.0,819
Athletics Men's Long Jump,24.536231884057973,17.0,37.0,181.9969650986343,154.0,202.0,74.45788667687596,51.0,102.0,791
Tennis Men's Singles,25.790823211875843,17.0,44.0,184.64638783269962,162.0,208.0,78.27961165048544,59.0,111.0,786
Athletics Men's 200 metres,24.058746736292427,17.0,36.0,179.3267776096823,160.0,199.0,73.16998468606432,49.0,98.0,786
"Equestrianism Mixed Three-Day Event, Individual",32.52442159383033,18.0,61.0,174.38076416337285,148.0,197.0,67.34482758620689,43.0,88.0,778
Athletics Women's Marathon,30.09795918367347,18.0,48.0,162.60164835164835,147.0,183.0,49.242798353909464,35.0,67.0,739
Swimming Women's 100 metres Freestyle,18.80195258019526,12.0,31.0,170.28375733855185,131.0,192.0,60.87860082304527,40.0,85.0,736
Archery Men's Individual,27.370068027210884,15.0,62.0,178.2405797101449,157.0,197.0,76.62084592145015,46.0,130.0,735
Athletics Men's 400 metres Hurdles,24.835227272727273,17.0,38.0,182.50077041602466,164.0,200.0,73.91071428571429,55.0,93.0,718
Cycling Men's Sprint,23.663265306122447,16.0,41.0,177.20673076923077,136.0,201.0,78.0325,50.0,104.0,700
Athletics Men's 4 x 100 metres Relay,24.24264705882353,16.0,41.0,177.07740916271723,155.0,198.0,71.93322734499205,50.0,95.0,699
Diving Men's Springboard,23.421613394216134,14.0,48.0,172.1370449678801,152.0,188.0,68.37024608501119,42.0,91.0,699
Swimming Men's 100 metres Backstroke,21.113293051359516,13.0,41.0,184.5164609053498,155.0,205.0,76.96815286624204,50.0,100.0,697
Athletics Men's 20 kilometres Walk,27.26169590643275,17.0,50.0,175.80832095096582,156.0,194.0,64.74591381872214,48.0,91.0,685
Athletics Men's Discus Throw,27.47181008902077,17.0,46.0,191.1107325383305,150.0,208.0,109.68793103448276,48.0,158.0,683
Athletics Men's Triple Jump,25.34246575342466,17.0,39.0,183.095,160.0,207.0,75.37099494097808,53.0,102.0,675
Boxing Men's Lightweight,22.8608,15.0,36.0,170.05387931034483,150.0,190.0,60.210583153347734,48.0,80.0,673
Athletics Men's Shot Put,26.703296703296704,17.0,43.0,189.97543859649122,172.0,208.0,116.11879432624113,63.0,165.0,664
Athletics Men's 4 x 400 metres Relay,23.973846153846154,16.0,35.0,180.50844594594594,160.0,204.0,72.2984693877551,52.0,95.0,661
"Athletics Men's 3,000 metres Steeplechase",25.90726429675425,18.0,42.0,176.7741935483871,152.0,193.0,63.99486301369863,48.0,84.0,657
Athletics Men's Javelin Throw,25.88087774294671,17.0,41.0,185.1948717948718,155.0,206.0,91.07465277777777,66.0,122.0,655
Boxing Men's Welterweight,23.056451612903224,16.0,36.0,174.84368308351176,130.0,190.0,67.37794432548179,48.0,82.0,655
Archery Women's Individual,26.45146379044684,14.0,59.0,167.03953871499175,152.0,185.0,61.75856164383562,42.0,95.0,650
"Equestrianism Mixed Dressage, Individual",37.86821705426357,16.0,71.0,172.09722222222223,152.0,195.0,64.57839721254355,47.0,100.0,650
Athletics Men's Pole Vault,25.17452830188679,16.0,40.0,182.74729241877256,168.0,206.0,76.21192660550459,56.0,96.0,650
Sailing Mixed Two Person Keelboat,33.46474358974359,16.0,70.0,181.76494845360824,156.0,203.0,86.66421052631578,52.0,130.0,647
Boxing Men's Bantamweight,22.363636363636363,15.0,33.0,166.23044397463002,143.0,192.0,54.398488120950326,48.0,75.0,646
Rowing Women's Coxed Eights,25.394568690095845,16.0,56.0,177.72652388797363,146.0,195.0,71.45799011532125,39.0,97.0,626
Swimming Men's 400 metres Freestyle,20.563451776649746,13.0,35.0,181.86374695863748,150.0,203.0,75.59335038363172,47.0,97.0,624
Athletics Men's 50 kilometres Walk,30.08225806451613,19.0,49.0,177.06927175843694,152.0,200.0,65.97311827956989,50.0,87.0,622
Rowing Men's Coxless Pairs,25.3993399339934,18.0,41.0,189.73460721868366,168.0,208.0,87.09329140461216,67.0,109.0,620
Rowing Men's Coxed Pairs,24.88605442176871,12.0,60.0,180.51382488479263,142.0,208.0,76.25407925407926,37.0,109.0,612
Boxing Men's Featherweight,21.991071428571427,16.0,38.0,168.66823529411764,142.0,190.0,57.23481308411215,50.0,86.0,612
Swimming Men's 50 metres Freestyle,22.645320197044335,13.0,38.0,186.23314065510598,153.0,209.0,80.04255319148936,49.0,112.0,610
Athletics Men's Hammer Throw,27.959866220735787,19.0,48.0,186.0996376811594,167.0,203.0,105.9466911764706,61.0,130.0,608
Swimming Men's 100 metres Breaststroke,21.9567387687188,14.0,33.0,183.6115107913669,160.0,202.0,78.02342342342342,55.0,105.0,606
Boxing Men's Flyweight,22.187062937062937,15.0,41.0,163.5968109339408,130.0,181.0,51.36542923433875,47.0,74.0,605
Athletics Men's Decathlon,25.27027027027027,17.0,37.0,187.21715328467153,163.0,201.0,85.1988950276243,60.0,102.0,604
"Canoeing Men's Kayak Fours, 1,000 metres",25.21297836938436,17.0,41.0,183.35225375626044,161.0,203.0,82.08597662771285,53.0,115.0,602
"Shooting Men's Rapid-Fire Pistol, 25 metres",35.20676691729323,16.0,65.0,174.92741935483872,132.0,194.0,77.09714285714286,50.0,115.0,597
Rowing Men's Double Sculls,25.774250440917108,17.0,42.0,188.46357615894038,170.0,205.0,86.86179775280898,65.0,110.0,589
"Athletics Men's 10,000 metres",26.70035460992908,17.0,41.0,172.18003913894324,152.0,195.0,59.734892787524366,47.0,85.0,582
Shooting Men's Trap,36.22605363984675,17.0,65.0,178.23641304347825,155.0,200.0,86.50974930362116,52.0,140.0,581
Tennis Women's Singles,24.116906474820144,14.0,43.0,172.24439918533605,150.0,191.0,61.97946611909651,48.0,85.0,570
Sailing Mixed One Person Dinghy,28.98722627737226,17.0,54.0,181.59375,156.0,195.0,83.42469135802469,59.0,115.0,567
Swimming Women's 50 metres Freestyle,20.700361010830324,12.0,41.0,172.18627450980392,138.0,193.0,62.55807086614173,39.0,80.0,554
"Art Competitions Mixed Painting, Unknown Event",45.911637931034484,14.0,96.0,174.26666666666668,150.0,184.0,70.5,59.0,80.0,552
Athletics Women's High Jump,23.499089253187613,15.0,38.0,177.35603112840468,155.0,193.0,61.463035019455255,45.0,82.0,552
Athletics Women's 400 metres,23.774725274725274,12.0,36.0,169.82797731569,150.0,187.0,58.44234404536862,42.0,80.0,548
Rowing Men's Quadruple Sculls,25.703296703296704,17.0,41.0,190.87145557655955,175.0,206.0,90.38563327032136,63.0,114.0,546
Boxing Men's Middleweight,23.671287128712873,17.0,38.0,179.31105398457584,128.0,196.0,74.93261455525607,60.0,91.0,544
"Cycling Women's Road Race, Individual",26.81191806331471,17.0,49.0,168.01377952755905,150.0,201.0,57.537549407114625,45.0,92.0,537
Table Tennis Men's Singles,27.46728971962617,15.0,54.0,177.20883534136547,150.0,198.0,71.77309236947791,50.0,99.0,536
Athletics Women's 800 metres,24.27514231499051,14.0,39.0,167.91865079365078,148.0,185.0,55.508946322067594,41.0,75.0,532
Gymnastics Men's Team All-Around,24.30958230958231,16.0,49.0,167.83783783783784,155.0,185.0,63.12676056338028,46.0,86.0,530
Swimming Women's 100 metres Backstroke,19.005736137667306,13.0,37.0,171.86301369863014,142.0,192.0,61.603488372093025,43.0,85.0,530
Boxing Men's Light-Welterweight,22.923379174852652,17.0,33.0,172.8849557522124,127.0,187.0,63.68490153172866,48.0,90.0,528
Diving Women's Springboard,21.440944881889763,12.0,35.0,161.88679245283018,142.0,178.0,54.69471153846154,42.0,75.0,522
"Wrestling Men's Lightweight, Greco-Roman",25.59825327510917,17.0,38.0,169.66559485530547,152.0,184.0,67.4026402640264,58.0,84.0,518
Table Tennis Women's Singles,25.98252427184466,15.0,53.0,165.09207708779442,146.0,181.0,58.298507462686565,42.0,120.0,518
Swimming Women's 100 metres Breaststroke,19.50299401197605,11.0,33.0,170.0550847457627,150.0,188.0,60.438428874734605,40.0,80.0,503
"Fencing Men's Foil, Team",29.029787234042555,15.0,59.0,177.72473867595818,165.0,200.0,72.80152671755725,52.0,95.0,492
Boxing Men's Light-Heavyweight,24.095338983050848,16.0,37.0,182.22222222222223,160.0,196.0,80.73698630136987,72.0,94.0,488
"Fencing Men's epee, Team",30.072649572649574,16.0,61.0,182.02758620689656,165.0,201.0,76.0925925925926,57.0,105.0,488
Water Polo Women's Water Polo,25.16188524590164,16.0,41.0,175.56352459016392,160.0,192.0,70.18032786885246,50.0,104.0,488
Athletics Women's Javelin Throw,25.55876288659794,15.0,43.0,172.3785557986871,158.0,189.0,70.91776315789474,50.0,94.0,486
Swimming Men's 4 x 200 metres Freestyle Relay,21.517857142857142,15.0,36.0,185.06194690265488,167.0,206.0,78.67325227963526,58.0,114.0,481
Swimming Men's 200 metres Breaststroke,21.67420814479638,14.0,37.0,181.26792452830188,163.0,199.0,76.45121951219512,53.0,102.0,481
Sailing Men's Two Person Dinghy,27.06875,16.0,47.0,177.70091324200914,162.0,213.0,68.20205479452055,55.0,85.0,480
Softball Women's Softball,26.299163179916317,17.0,41.0,169.39508928571428,150.0,198.0,67.47165532879819,45.0,109.0,478
Cycling Men's 100 kilometres Team Time Trial,23.398706896551722,16.0,38.0,178.5098901098901,138.0,197.0,71.51333333333334,48.0,91.0,478
Weightlifting Men's Lightweight,25.343820224719103,16.0,40.0,164.91964285714286,156.0,182.0,68.08866813833701,55.0,85.0,478
"Wrestling Men's Featherweight, Greco-Roman",25.447191011235955,16.0,39.0,165.84887459807075,147.0,200.0,61.82954545454545,52.0,115.0,475
Weightlifting Men's Featherweight,25.710955710955712,16.0,40.0,160.7147766323024,140.0,173.0,60.860986547085204,52.0,77.0,470
Athletics Women's Long Jump,24.931914893617023,15.0,38.0,171.20484581497797,151.0,190.0,59.91814159292036,44.0,77.0,470
Weightlifting Men's Middleweight,25.205607476635514,17.0,42.0,169.0728476821192,156.0,183.0,75.42234848484848,67.0,98.0,467
Swimming Men's 200 metres Freestyle,20.893569844789358,14.0,32.0,186.34170854271358,150.0,206.0,79.62372448979592,55.0,104.0,466
Rowing Men's Single Sculls,25.931972789115648,17.0,39.0,188.07185628742516,168.0,205.0,86.37755102040816,63.0,108.0,463
Diving Men's Platform,22.849282296650717,13.0,51.0,170.15409836065575,148.0,188.0,64.54208754208754,37.0,80.0,453
"Canoeing Men's Kayak Doubles, 1,000 metres",25.85810810810811,18.0,41.0,181.3221288515406,160.0,203.0,79.26271186440678,56.0,100.0,451
Sailing Mixed Two Person Heavyweight Dinghy,28.78359908883827,16.0,56.0,179.8117359413203,159.0,198.0,77.94088669950739,56.0,130.0,447
Weightlifting Men's Light-Heavyweight,25.81516587677725,16.0,43.0,171.7192429022082,152.0,184.0,82.91121495327103,62.0,105.0,446
Athletics Women's Discus Throw,26.811791383219955,15.0,47.0,177.55773955773955,153.0,193.0,84.35135135135135,54.0,130.0,442
"Wrestling Men's Middleweight, Greco-Roman",26.216624685138537,17.0,41.0,176.89473684210526,161.0,191.0,80.74752475247524,66.0,101.0,442
"Shooting Men's Free Pistol, 50 metres",36.56,16.0,62.0,173.640350877193,153.0,192.0,76.18957345971565,50.0,104.0,432
Swimming Women's 4 x 100 metres Freestyle Relay,19.739952718676122,13.0,33.0,173.19886363636363,158.0,191.0,62.75143678160919,46.0,80.0,430
Judo Men's Lightweight,24.822274881516588,16.0,35.0,172.52673796791444,155.0,188.0,71.02659574468085,52.0,90.0,429
"Shooting Men's Air Rifle, 10 metres",28.866510538641688,15.0,50.0,176.7799043062201,132.0,213.0,75.14302884615384,41.0,115.0,429
"Shooting Women's Air Rifle, 10 metres",26.24220623501199,16.0,45.0,164.0325,146.0,183.0,58.45,40.0,98.0,419
"Wrestling Men's Featherweight, Freestyle",24.75,17.0,36.0,166.19218241042344,152.0,182.0,61.62956810631229,52.0,125.0,414
Athletics Women's 200 metres,23.197080291970803,15.0,36.0,168.77864583333334,145.0,183.0,58.12958115183246,43.0,75.0,414
"Wrestling Men's Lightweight, Freestyle",25.557951482479783,17.0,41.0,169.5268456375839,147.0,183.0,67.27013422818791,55.0,84.0,409
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",35.505376344086024,16.0,63.0,174.74131274131275,158.0,198.0,74.88085106382978,51.0,107.0,409
Swimming Men's 4 x 100 metres Freestyle Relay,22.473815461346632,15.0,36.0,187.5215053763441,150.0,208.0,81.41532258064517,55.0,110.0,405
Shooting Mixed Skeet,32.2406015037594,16.0,66.0,176.25065274151436,152.0,193.0,76.94778067885117,51.0,140.0,403
Judo Men's Middleweight,25.63727959697733,18.0,43.0,180.51226158038148,163.0,195.0,86.52956989247312,70.0,120.0,403
Athletics Women's 100 metres Hurdles,25.511166253101738,17.0,39.0,169.69521410579344,153.0,182.0,60.35929648241206,49.0,75.0,403
Judo Men's Half-Middleweight,25.012626262626263,16.0,42.0,177.43697478991598,158.0,190.0,79.17534246575343,65.0,175.0,402
Athletics Women's 4 x 100 metres Relay,23.09547738693467,15.0,40.0,166.25956284153006,145.0,183.0,57.61538461538461,41.0,77.0,400
"Wrestling Men's Light-Heavyweight, Greco-Roman",26.759668508287294,18.0,40.0,181.3985507246377,165.0,198.0,89.30615942028986,77.5,110.0,398
"Wrestling Men's Welterweight, Freestyle",25.964088397790054,17.0,50.0,172.76610169491525,156.0,188.0,72.39931740614334,63.0,90.0,393
Swimming Men's 100 metres Butterfly,21.914728682170544,14.0,38.0,182.46704871060172,147.0,203.0,76.77363896848138,45.0,101.0,392
Athletics Women's Shot Put,26.00771208226221,17.0,42.0,177.21447721179624,160.0,194.0,90.26478494623656,53.0,136.0,390
Rhythmic Gymnastics Women's Group,18.51948051948052,14.0,26.0,169.02380952380952,154.0,181.0,49.534246575342465,36.0,64.0,385
"Wrestling Men's Middleweight, Freestyle",25.83190883190883,18.0,41.0,176.44947735191639,161.0,195.0,80.86678200692042,65.0,101.0,377
"Fencing Men's Sabre, Team",29.954674220963174,17.0,49.0,178.65350877192984,165.0,198.0,74.55504587155963,48.0,93.0,376
"Equestrianism Men's Three-Day Event, Individual",32.833333333333336,18.0,51.0,175.42016806722688,159.0,195.0,69.04700854700855,56.5,88.0,373
Weightlifting Men's Bantamweight,25.446022727272727,16.0,45.0,157.53177257525084,140.0,172.0,56.33016304347826,50.0,69.0,369
Boxing Men's Heavyweight,24.171919770773638,16.0,35.0,186.67537313432837,152.0,208.0,90.56896551724138,71.0,133.0,367
"Shooting Men's Air Pistol, 10 metres",34.032786885245905,17.0,62.0,176.34393063583815,156.0,202.0,79.9393063583815,58.0,128.0,366
Weightlifting Men's Middle-Heavyweight,25.650837988826815,16.0,38.0,174.57324840764332,162.0,192.0,91.06284153005464,77.0,112.0,366
"Wrestling Men's Heavyweight, Greco-Roman",27.491329479768787,18.0,41.0,184.54789272030652,170.0,198.0,100.90077821011673,79.0,130.0,365
Shooting Mixed Trap,34.43055555555556,15.0,68.0,176.15634218289085,150.0,196.0,80.04437869822485,54.0,125.0,363
