Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Athletics Women's Triple Jump,26.14917127071823,20.0,39.0,174.63333333333333,160.0,192.0,61.044444444444444,48.0,76.0,181
"Canoeing Women's Kayak Singles, Slalom",25.877777777777776,16.0,44.0,166.79640718562874,153.0,180.0,59.74850299401198,48.0,74.0,180
"Wrestling Men's Super-Heavyweight, Freestyle",26.865168539325843,18.0,42.0,187.31428571428572,163.0,214.0,118.09142857142857,63.0,150.0,178
Swimming Women's 4 x 200 metres Freestyle Relay,20.27683615819209,15.0,28.0,174.1547619047619,160.0,193.0,63.25301204819277,47.0,85.0,177
"Art Competitions Mixed Painting, Paintings",46.8625,19.0,72.0,174.0,174.0,174.0,80.0,80.0,80.0,176
Athletics Women's Pole Vault,25.579545454545453,18.0,35.0,170.65714285714284,158.0,185.0,59.48571428571429,46.0,72.0,176
"Cycling Men's Tandem Sprint, 2,000 metres",24.16,17.0,41.0,174.33333333333334,163.0,190.0,72.10144927536231,51.0,86.0,172
Judo Women's Half-Middleweight,25.337209302325583,16.0,37.0,166.2549019607843,156.0,180.0,63.064516129032256,48.0,70.0,172
Rowing Women's Coxed Fours,23.660818713450293,17.0,39.0,173.3764705882353,140.0,190.0,67.63529411764706,39.0,90.0,171
Tug-Of-War Men's Tug-Of-War,29.30952380952381,17.0,45.0,182.48,170.0,195.0,95.61538461538461,75.0,118.0,170
"Cycling Women's Mountainbike, Cross-Country",28.798816568047336,18.0,44.0,166.56024096385542,149.0,188.0,54.92727272727273,45.0,71.0,169
"Canoeing Men's Canadian Singles, Slalom",25.12574850299401,16.0,41.0,178.98192771084337,160.0,201.0,73.83734939759036,57.0,92.0,167
Swimming Men's 200 metres Backstroke,21.05421686746988,14.0,36.0,183.73376623376623,158.0,205.0,76.2012987012987,49.0,98.0,167
Modern Pentathlon Women's Individual,25.524390243902438,15.0,39.0,170.0731707317073,155.0,186.0,58.3109756097561,42.0,80.0,164
Rugby Men's Rugby,24.385964912280702,18.0,39.0,176.09677419354838,164.0,191.0,77.53333333333333,68.0,99.0,162
Judo Women's Lightweight,25.48125,14.0,36.0,162.6283783783784,143.0,175.0,57.310810810810814,52.0,65.0,160
Judo Women's Half-Lightweight,24.61006289308176,18.0,35.0,159.51724137931035,150.0,172.0,52.64625850340136,48.0,65.0,159
Judo Women's Extra-Lightweight,23.916129032258066,16.0,35.0,156.51408450704224,146.0,185.0,48.96830985915493,46.0,78.0,155
Judo Women's Middleweight,25.393548387096775,15.0,36.0,171.35616438356163,158.0,185.0,70.0374149659864,63.0,90.5,155
Tennis Women's Doubles,25.192052980132452,16.0,47.0,171.79136690647482,156.0,191.0,62.172661870503596,50.0,84.0,154
"Canoeing Men's Canadian Singles, 1,000 metres",25.456375838926174,17.0,48.0,181.14728682170542,164.0,205.0,80.78294573643412,58.0,114.0,153
Athletics Women's 80 metres Hurdles,22.953020134228186,16.0,34.0,168.21774193548387,156.0,178.0,60.01639344262295,46.0,75.0,153
Rugby Sevens Men's Rugby Sevens,25.980132450331126,19.0,36.0,182.83443708609272,169.0,198.0,91.00662251655629,65.0,113.0,151
"Equestrianism Men's Dressage, Individual",40.605633802816904,21.0,72.0,174.6,167.0,182.0,62.0,62.0,62.0,149
Synchronized Swimming Women's Solo,20.687074829931973,15.0,29.0,167.98425196850394,157.0,180.0,55.57936507936508,45.0,67.0,149
"Canoeing Men's Canadian Singles, 500 metres",25.046979865771814,17.0,36.0,181.31506849315068,165.0,201.0,82.71917808219177,61.0,114.0,149
Rugby Sevens Women's Rugby Sevens,26.114864864864863,18.0,35.0,167.63698630136986,153.0,185.0,66.62837837837837,53.0,89.0,148
Judo Women's Half-Heavyweight,25.299319727891156,17.0,36.0,173.02255639097746,157.0,183.0,76.11481481481482,67.0,80.0,147
"Gymnastics Men's Team All-Around, Swedish System",24.757575757575758,17.0,45.0,177.0,176.0,178.0,73.0,73.0,73.0,147
